Analysis,Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR,Time_Lag,Time_Window,Z_Threshold
seven_day,p06,Exercise_Count,stress,0.5270769603938563,4.598417324314309e-06,67,Yes,0.0012170477851685204,True,True,,previous_7_days,
seven_day,p06,Exercise_Duration,stress,0.5987036152482487,8.72463856935557e-08,67,Yes,6.927363024068324e-05,True,True,,previous_7_days,
seven_day,p06,Exercise_Calories,stress,0.5718341762701042,4.31202864001625e-07,67,Yes,0.00017118753700864512,True,True,,previous_7_days,
seven_day,p07,Exercise_Avg_HR,stress,0.6073835163686799,0.0001779879999519,33,Yes,0.027131851142075735,True,True,,previous_7_days,
sensitivity_Z1,p01,Exercise_Avg_HR,readiness,0.6991586387309421,0.0008652177934163,19,Yes,0.0418894390422959,True,True,,,1.0
sensitivity_Z1,p02,Steps,readiness,0.7779125835272643,0.0010530910487435,14,Yes,0.0418894390422959,True,True,,,1.0
sensitivity_Z1,p02,Exercise_Calories,readiness,0.77230417884858,0.0001727088774066,18,Yes,0.029772500546598656,True,True,,,1.0
sensitivity_Z1,p07,Sleep_Duration_Score,sleep_quality,0.792223995129472,0.0004298269436524,15,Yes,0.03239820587779965,True,True,,,1.0
sensitivity_Z1,p07,Deep_Sleep_Minutes,sleep_quality,0.7144134865856169,0.0005892067493657,19,Yes,0.03552916698675171,True,True,,,1.0
sensitivity_Z1,p08,Steps,readiness,0.786748069619018,0.0005018209652086,15,Yes,0.033622004668976205,True,True,,,1.0
sensitivity_Z1,p08,Exercise_Count,readiness,0.8335591644433529,0.0003997226694384,13,Yes,0.03239820587779965,True,True,,,1.0
sensitivity_Z1,p08,Exercise_Duration,fatigue,0.7618404791985653,0.0015420867761077,14,Yes,0.04634000568209357,True,True,,,1.0
sensitivity_Z1,p08,Exercise_Distance,readiness,0.5890313481431979,0.0015455741698388,26,Yes,0.04634000568209357,True,True,,,1.0
sensitivity_Z1,p08,Exercise_Calories,readiness,0.7812490341631675,0.001613831043655,13,Yes,0.04634000568209357,True,True,,,1.0
sensitivity_Z1,p08,Deep_Sleep_Minutes,sleep_quality,0.685929711659131,0.001185644034694,19,Yes,0.04205549134826365,True,True,,,1.0
sensitivity_Z1,p08,Sleep_Restlessness,fatigue,-0.8339720924967028,0.0014179541659294,11,Yes,0.04634000568209357,True,True,,,1.0
sensitivity_Z1,p08,Sleep_Restlessness,readiness,-0.8901276965745392,0.0002407969919378,11,Yes,0.029772500546598656,True,True,,,1.0
sensitivity_Z1,p08,Sleep_Revitalization,fatigue,0.8410941212183135,0.0003145893203984,13,Yes,0.031616226700039204,True,True,,,1.0
sensitivity_Z1,p08,Sleep_Revitalization,sleep_quality,0.814544757118965,0.000697085262305,13,Yes,0.03821294665181046,True,True,,,1.0
sensitivity_Z1,p09,Steps,fatigue,-0.7390631599504672,0.0010714793857199,16,Yes,0.0418894390422959,True,True,,,1.0
sensitivity_Z1,p09,Sleep_Duration_Score,fatigue,0.7625461476843136,0.0002336424310364,18,Yes,0.029772500546598656,True,True,,,1.0
sensitivity_Z1,p09,Sleep_Score,fatigue,0.7607177049541738,0.0002468698221111,18,Yes,0.029772500546598656,True,True,,,1.0
sensitivity_Z1,p10,Sleep_Duration_Score,fatigue,0.708683386892301,0.0009939221227885,18,Yes,0.0418894390422959,True,True,,,1.0
sensitivity_Z1,p10,Sleep_Duration_Score,sleep_quality,0.7039685165935681,0.0011114942366115,18,Yes,0.0418894390422959,True,True,,,1.0
sensitivity_Z1,p11,Sleep_Score,fatigue,0.8319262148735698,0.0001199639887362,15,Yes,0.029772500546598656,True,True,,,1.0
